event_id,timestamp,hostname,user_account,process_name,event_type,file_modified,network_connection,event_severity,raw_message,hour_of_day,day_of_week,is_weekend,is_after_hours,is_external_ip,severity_encoded,event_type_encoded,is_suspicious_process,is_encrypted,is_anomaly,anomaly_score
10153,2025-09-26 10:54:54,WORKSTATION-006,mjones,excel.exe,network_connection,,,Low,Normal activity on WORKSTATION-001,10,Friday,0,0,1,2,2,0,0,0,-0.5084745867682054
10111,2025-09-26 11:27:43,WORKSTATION-006,akumar,outlook.exe,process_creation,C:\Users\report_88.docx,192.168.1.14,Low,Normal activity on WORKSTATION-002,11,Friday,0,0,0,2,3,0,0,0,-0.5610361032430938
10112,2025-09-26 11:30:56,WORKSTATION-006,akumar,explorer.exe,process_creation,,,Medium,Normal activity on WORKSTATION-007,11,Friday,0,0,1,3,3,0,0,0,-0.5429141256758413
10170,2025-09-26 11:31:29,WORKSTATION-001,mjones,word.exe,network_connection,,192.168.1.20,Low,Normal activity on WORKSTATION-010,11,Friday,0,0,0,2,2,0,0,0,-0.5610361032430938
10142,2025-09-26 11:36:27,WORKSTATION-006,jsmith,explorer.exe,process_creation,C:\Users\report_61.docx,,Low,Normal activity on WORKSTATION-008,11,Friday,0,0,1,2,3,0,0,0,-0.5002432184741642
10123,2025-09-26 11:51:15,WORKSTATION-004,mjones,word.exe,file_access,,,Low,Normal activity on WORKSTATION-004,11,Friday,0,0,1,2,0,0,0,0,-0.5002432184741642
10173,2025-09-26 11:54:49,WORKSTATION-007,mjones,outlook.exe,network_connection,,,Medium,Normal activity on WORKSTATION-009,11,Friday,0,0,1,3,2,0,0,0,-0.5429141256758413
10096,2025-09-26 12:48:42,WORKSTATION-009,mjones,word.exe,process_creation,C:\Users\report_33.docx,192.168.1.40,Low,Normal activity on WORKSTATION-006,12,Friday,0,0,0,2,3,0,0,1,-0.5786456674639479
10052,2025-09-26 12:56:26,WORKSTATION-008,mjones,excel.exe,process_creation,,,Low,Normal activity on WORKSTATION-005,12,Friday,0,0,1,2,3,0,0,0,-0.5075672629213008
10193,2025-09-26 13:07:10,WORKSTATION-008,jsmith,explorer.exe,process_creation,,,Low,Normal activity on WORKSTATION-006,13,Friday,0,0,1,2,3,0,0,0,-0.499454206798825
10208,2025-09-26 13:12:57,WORKSTATION-009,mjones,outlook.exe,file_access,,,Medium,Normal activity on WORKSTATION-003,13,Friday,0,0,1,3,0,0,0,0,-0.5188270260437429
10082,2025-09-26 13:15:58,WORKSTATION-007,akumar,word.exe,file_modification,C:\Users\report_36.docx,,Low,Normal activity on WORKSTATION-006,13,Friday,0,0,1,2,1,0,0,0,-0.499454206798825
10125,2025-09-26 13:19:54,WORKSTATION-005,akumar,chrome.exe,file_access,,,Low,Normal activity on WORKSTATION-008,13,Friday,0,0,1,2,0,0,0,0,-0.499454206798825
10048,2025-09-26 13:29:29,WORKSTATION-004,jsmith,chrome.exe,file_access,,,Low,Normal activity on WORKSTATION-007,13,Friday,0,0,1,2,0,0,0,0,-0.499454206798825
10027,2025-09-26 13:44:36,WORKSTATION-008,akumar,outlook.exe,file_access,,,Medium,Normal activity on WORKSTATION-002,13,Friday,0,0,1,3,0,0,0,0,-0.5188270260437429
10164,2025-09-26 13:53:49,WORKSTATION-006,jsmith,outlook.exe,process_creation,C:\Users\report_33.docx,,Medium,Normal activity on WORKSTATION-005,13,Friday,0,0,1,3,3,0,0,0,-0.5188270260437429
10073,2025-09-26 14:02:27,WORKSTATION-005,akumar,outlook.exe,network_connection,,,Medium,Normal activity on WORKSTATION-007,14,Friday,0,0,1,3,2,0,0,0,-0.5244254612340309
10124,2025-09-26 14:07:17,WORKSTATION-002,jsmith,word.exe,file_modification,C:\Users\report_45.docx,,Medium,Normal activity on WORKSTATION-003,14,Friday,0,0,1,3,1,0,0,0,-0.5244254612340309
10189,2025-09-26 14:24:00,WORKSTATION-001,mjones,excel.exe,file_modification,C:\Users\report_38.docx,192.168.1.10,Low,Normal activity on WORKSTATION-010,14,Friday,0,0,0,2,1,0,0,1,-0.5894957061212408
10192,2025-09-26 15:01:58,WORKSTATION-003,akumar,excel.exe,network_connection,,,Medium,Normal activity on WORKSTATION-002,15,Friday,0,0,1,3,2,0,0,0,-0.5375762320714045
10005,2025-09-26 15:37:40,WORKSTATION-005,akumar,explorer.exe,file_modification,,,Low,Normal activity on WORKSTATION-007,15,Friday,0,0,1,2,1,0,0,0,-0.5177662489885964
10103,2025-09-26 15:43:21,WORKSTATION-010,jsmith,outlook.exe,file_modification,C:\Users\report_73.docx,,Medium,Normal activity on WORKSTATION-004,15,Friday,0,0,1,3,1,0,0,0,-0.5375762320714045
10138,2025-09-26 16:42:28,WORKSTATION-005,mjones,chrome.exe,process_creation,,,Low,Normal activity on WORKSTATION-008,16,Friday,0,0,1,2,3,0,0,0,-0.5062415188660818
10172,2025-09-26 16:45:52,WORKSTATION-004,jsmith,explorer.exe,process_creation,,192.168.1.40,Low,Normal activity on WORKSTATION-009,16,Friday,0,0,0,2,3,0,0,1,-0.603577198227601
10013,2025-09-26 16:46:11,WORKSTATION-010,jsmith,excel.exe,file_access,C:\Users\report_69.docx,,Low,Normal activity on WORKSTATION-008,16,Friday,0,0,1,2,0,0,0,0,-0.5062415188660818
10183,2025-09-26 16:58:31,WORKSTATION-005,jsmith,outlook.exe,process_creation,C:\Users\report_89.docx,,Low,Normal activity on WORKSTATION-008,16,Friday,0,0,1,2,3,0,0,0,-0.5062415188660818
10055,2025-09-26 17:19:46,WORKSTATION-006,akumar,explorer.exe,file_modification,C:\Users\report_14.docx,,Low,Normal activity on WORKSTATION-010,17,Friday,0,0,1,2,1,0,0,0,-0.5049081892821211
10158,2025-09-26 17:28:36,WORKSTATION-008,akumar,outlook.exe,network_connection,,,Low,Normal activity on WORKSTATION-008,17,Friday,0,0,1,2,2,0,0,0,-0.5049081892821211
10087,2025-09-26 17:38:57,WORKSTATION-006,mjones,explorer.exe,process_creation,C:\Users\report_69.docx,,Low,Normal activity on WORKSTATION-008,17,Friday,0,0,1,2,3,0,0,0,-0.5049081892821211
10179,2025-09-26 17:40:03,WORKSTATION-010,akumar,explorer.exe,network_connection,,,Medium,Normal activity on WORKSTATION-007,17,Friday,0,0,1,3,2,0,0,1,-0.5698016107338701
10017,2025-09-26 18:08:20,WORKSTATION-008,jsmith,word.exe,network_connection,,,Low,Normal activity on WORKSTATION-004,18,Friday,0,0,1,2,2,0,0,0,-0.5151953500014741
10035,2025-09-26 18:08:37,WORKSTATION-002,mjones,outlook.exe,network_connection,,192.168.1.31,Low,Normal activity on WORKSTATION-002,18,Friday,0,0,0,2,2,0,0,1,-0.6251483033138016
10131,2025-09-26 18:17:59,WORKSTATION-007,mjones,word.exe,file_access,C:\Users\report_83.docx,,Low,Normal activity on WORKSTATION-002,18,Friday,0,0,1,2,0,0,0,0,-0.5151953500014741
10128,2025-09-26 18:27:07,WORKSTATION-002,jsmith,word.exe,network_connection,,,Medium,Normal activity on WORKSTATION-001,18,Friday,0,0,1,3,2,0,0,1,-0.5715268300480782
10144,2025-09-26 18:29:22,WORKSTATION-004,jsmith,chrome.exe,network_connection,,,Low,Normal activity on WORKSTATION-002,18,Friday,0,0,1,2,2,0,0,0,-0.5151953500014741
10207,2025-09-26 18:31:54,WORKSTATION-004,akumar,word.exe,process_creation,,,Low,Normal activity on WORKSTATION-004,18,Friday,0,0,1,2,3,0,0,0,-0.5151953500014741
10040,2025-09-26 18:57:26,WORKSTATION-007,jsmith,outlook.exe,process_creation,,,Medium,Normal activity on WORKSTATION-006,18,Friday,0,0,1,3,3,0,0,1,-0.5715268300480782
10165,2025-09-26 19:01:31,WORKSTATION-010,akumar,chrome.exe,file_modification,,,Medium,Normal activity on WORKSTATION-006,19,Friday,0,1,1,3,1,0,0,1,-0.5834374533507913
10150,2025-09-26 19:17:22,WORKSTATION-009,akumar,excel.exe,process_creation,,,Low,Normal activity on WORKSTATION-006,19,Friday,0,1,1,2,3,0,0,1,-0.5681661750990793
10182,2025-09-26 19:25:24,WORKSTATION-003,akumar,outlook.exe,process_creation,,192.168.1.26,Medium,Normal activity on WORKSTATION-008,19,Friday,0,1,0,3,3,0,0,1,-0.6635097392423304
10117,2025-09-26 19:48:37,WORKSTATION-010,jsmith,chrome.exe,file_modification,C:\Users\report_7.docx,,Low,Normal activity on WORKSTATION-008,19,Friday,0,1,1,2,1,0,0,1,-0.5681661750990793
10109,2025-09-26 19:50:22,WORKSTATION-007,akumar,outlook.exe,network_connection,,,Medium,Normal activity on WORKSTATION-002,19,Friday,0,1,1,3,2,0,0,1,-0.5834374533507913
10033,2025-09-26 20:05:40,WORKSTATION-007,akumar,chrome.exe,process_creation,,,Low,Normal activity on WORKSTATION-001,20,Friday,0,1,1,2,3,0,0,0,-0.5350862511181989
10190,2025-09-26 20:11:54,WORKSTATION-005,akumar,word.exe,network_connection,C:\Users\report_18.docx,192.168.1.39,Low,Normal activity on WORKSTATION-004,20,Friday,0,1,0,2,2,0,0,1,-0.5987940635154
10060,2025-09-26 20:14:52,WORKSTATION-001,mjones,chrome.exe,network_connection,,,Low,Normal activity on WORKSTATION-005,20,Friday,0,1,1,2,2,0,0,0,-0.5350862511181989
10002,2025-09-26 20:23:17,WORKSTATION-005,mjones,explorer.exe,file_access,,,Low,Normal activity on WORKSTATION-010,20,Friday,0,1,1,2,0,0,0,0,-0.5350862511181989
10067,2025-09-26 20:24:17,WORKSTATION-003,mjones,excel.exe,file_access,C:\Users\report_52.docx,,Medium,Normal activity on WORKSTATION-001,20,Friday,0,1,1,3,0,0,0,1,-0.5756403262272997
10203,2025-09-26 20:39:42,WORKSTATION-002,akumar,excel.exe,file_modification,C:\Users\report_29.docx,192.168.1.11,Low,Normal activity on WORKSTATION-008,20,Friday,0,1,0,2,1,0,0,1,-0.5987940635154
10093,2025-09-26 21:04:09,WORKSTATION-010,akumar,outlook.exe,file_access,C:\Users\report_85.docx,,Low,Normal activity on WORKSTATION-010,21,Friday,0,1,1,2,0,0,0,0,-0.5590727074720043
10058,2025-09-26 21:11:12,WORKSTATION-008,mjones,chrome.exe,process_creation,,192.168.1.40,Low,Normal activity on WORKSTATION-007,21,Friday,0,1,0,2,3,0,0,1,-0.5904972955726155
10152,2025-09-26 21:22:28,WORKSTATION-009,jsmith,excel.exe,file_access,,192.168.1.21,Medium,Normal activity on WORKSTATION-005,21,Friday,0,1,0,3,0,0,0,1,-0.6559876302750314
10098,2025-09-26 21:25:11,WORKSTATION-005,akumar,outlook.exe,file_access,,,Medium,Normal activity on WORKSTATION-009,21,Friday,0,1,1,3,0,0,0,0,-0.5444414924046227
10031,2025-09-26 21:26:33,WORKSTATION-010,mjones,chrome.exe,file_access,,192.168.1.12,Low,Normal activity on WORKSTATION-004,21,Friday,0,1,0,2,0,0,0,1,-0.5904972955726155
10056,2025-09-26 21:39:52,WORKSTATION-007,jsmith,explorer.exe,file_modification,,,Medium,Normal activity on WORKSTATION-010,21,Friday,0,1,1,3,1,0,0,0,-0.5444414924046227
10202,2025-09-26 21:55:32,WORKSTATION-008,mjones,excel.exe,file_access,,,Medium,Normal activity on WORKSTATION-003,21,Friday,0,1,1,3,0,0,0,0,-0.5444414924046227
10132,2025-09-26 22:04:27,WORKSTATION-005,akumar,word.exe,file_modification,,,Low,Normal activity on WORKSTATION-006,22,Friday,0,1,1,2,1,0,0,0,-0.5399068029714519
10147,2025-09-26 22:12:57,WORKSTATION-008,,excel.exe,process_creation,,,Low,Normal activity on WORKSTATION-006,22,Friday,0,1,1,2,3,0,0,0,-0.5399068029714519
10177,2025-09-26 22:18:25,WORKSTATION-010,mjones,word.exe,process_creation,,,Low,Normal activity on WORKSTATION-010,22,Friday,0,1,1,2,3,0,0,0,-0.5399068029714519
10157,2025-09-26 22:29:31,WORKSTATION-006,jsmith,explorer.exe,file_access,C:\Users\report_64.docx,,Medium,Normal activity on WORKSTATION-002,22,Friday,0,1,1,3,0,0,0,0,-0.5621791576688642
10021,2025-09-26 22:36:05,WORKSTATION-001,jsmith,excel.exe,process_creation,C:\Users\report_59.docx,,Medium,Normal activity on WORKSTATION-009,22,Friday,0,1,1,3,3,0,0,0,-0.5621791576688642
10039,2025-09-26 22:52:08,WORKSTATION-006,mjones,word.exe,file_modification,,,Low,Normal activity on WORKSTATION-003,22,Friday,0,1,1,2,1,0,0,0,-0.5399068029714519
10181,2025-09-26 22:56:28,WORKSTATION-009,mjones,explorer.exe,file_modification,,,Medium,Normal activity on WORKSTATION-008,22,Friday,0,1,1,3,1,0,0,0,-0.5621791576688642
10146,2025-09-26 23:10:00,WORKSTATION-003,jsmith,word.exe,process_creation,,,Medium,Normal activity on WORKSTATION-009,23,Friday,0,1,1,3,3,0,0,1,-0.62224569815349
10049,2025-09-26 23:17:49,WORKSTATION-007,akumar,explorer.exe,network_connection,,192.168.1.29,Low,Normal activity on WORKSTATION-007,23,Friday,0,1,0,2,2,0,0,1,-0.6497994975394038
10209,2025-09-26 23:33:14,WORKSTATION-009,mjones,excel.exe,process_creation,,,Low,Normal activity on WORKSTATION-007,23,Friday,0,1,1,2,3,0,0,1,-0.5994981471570914
10041,2025-09-27 00:05:54,WORKSTATION-004,akumar,chrome.exe,file_access,,,Medium,Normal activity on WORKSTATION-006,0,Saturday,1,1,1,3,0,0,0,0,-0.5634429281816171
10102,2025-09-27 00:11:27,WORKSTATION-004,jsmith,outlook.exe,process_creation,,,Low,Normal activity on WORKSTATION-008,0,Saturday,1,1,1,2,3,0,0,1,-0.591923769117207
10045,2025-09-27 00:55:01,WORKSTATION-009,akumar,outlook.exe,network_connection,,,Medium,Normal activity on WORKSTATION-007,0,Saturday,1,1,1,3,2,0,0,0,-0.5634429281816171
10085,2025-09-27 01:13:13,WORKSTATION-007,akumar,chrome.exe,network_connection,C:\Users\report_17.docx,,Medium,Normal activity on WORKSTATION-006,1,Saturday,1,1,1,3,2,0,0,0,-0.5240765910270044
10118,2025-09-27 01:40:56,WORKSTATION-010,mjones,chrome.exe,file_access,,,Medium,Normal activity on WORKSTATION-010,1,Saturday,1,1,1,3,0,0,0,0,-0.5240765910270044
10022,2025-09-27 01:43:08,WORKSTATION-003,jsmith,explorer.exe,file_access,C:\Users\report_8.docx,,Low,Normal activity on WORKSTATION-009,1,Saturday,1,1,1,2,0,0,0,0,-0.5331415392391473
10100,2025-09-27 01:56:09,WORKSTATION-002,akumar,chrome.exe,network_connection,,,Medium,Normal activity on WORKSTATION-009,1,Saturday,1,1,1,3,2,0,0,0,-0.5240765910270044
10195,2025-09-27 02:17:46,WORKSTATION-005,akumar,outlook.exe,process_creation,,,Low,Normal activity on WORKSTATION-008,2,Saturday,1,1,1,2,3,0,0,0,-0.49370748943410425
10037,2025-09-27 02:37:13,WORKSTATION-002,akumar,chrome.exe,process_creation,,,Medium,Normal activity on WORKSTATION-009,2,Saturday,1,1,1,3,3,0,0,0,-0.5294970349590269
10069,2025-09-27 03:01:34,WORKSTATION-007,mjones,outlook.exe,network_connection,,,Medium,Normal activity on WORKSTATION-002,3,Saturday,1,1,1,3,2,0,0,0,-0.514778722792323
10198,2025-09-27 03:32:21,WORKSTATION-003,akumar,excel.exe,file_access,,,Low,Normal activity on WORKSTATION-002,3,Saturday,1,1,1,2,0,0,0,0,-0.46900796744413564
10084,2025-09-27 03:47:08,WORKSTATION-007,mjones,chrome.exe,file_modification,,,Low,Normal activity on WORKSTATION-001,3,Saturday,1,1,1,2,1,0,0,0,-0.46900796744413564
10204,2025-09-27 03:49:21,WORKSTATION-007,jsmith,chrome.exe,network_connection,,,Medium,Normal activity on WORKSTATION-002,3,Saturday,1,1,1,3,2,0,0,0,-0.514778722792323
10020,2025-09-27 04:02:12,WORKSTATION-002,akumar,explorer.exe,file_access,C:\Users\report_31.docx,,Low,Normal activity on WORKSTATION-008,4,Saturday,1,1,1,2,0,0,0,0,-0.4531202470009758
10174,2025-09-27 04:08:32,WORKSTATION-005,akumar,excel.exe,process_creation,C:\Users\report_80.docx,,Low,Normal activity on WORKSTATION-003,4,Saturday,1,1,1,2,3,0,0,0,-0.4531202470009758
10010,2025-09-27 04:08:32,WORKSTATION-001,jsmith,word.exe,process_creation,C:\Users\report_44.docx,,Low,Normal activity on WORKSTATION-003,4,Saturday,1,1,1,2,3,0,0,0,-0.4531202470009758
10063,2025-09-27 04:09:04,WORKSTATION-009,akumar,word.exe,process_creation,,,Low,Normal activity on WORKSTATION-005,4,Saturday,1,1,1,2,3,0,0,0,-0.4531202470009758
10026,2025-09-27 04:29:52,WORKSTATION-002,jsmith,word.exe,process_creation,,,Low,Normal activity on WORKSTATION-004,4,Saturday,1,1,1,2,3,0,0,0,-0.4531202470009758
10156,2025-09-27 04:39:09,WORKSTATION-001,akumar,excel.exe,process_creation,,,Medium,Normal activity on WORKSTATION-003,4,Saturday,1,1,1,3,3,0,0,0,-0.504794479428745
10024,2025-09-27 04:44:28,WORKSTATION-004,jsmith,word.exe,file_access,,,Medium,Normal activity on WORKSTATION-006,4,Saturday,1,1,1,3,0,0,0,0,-0.504794479428745
10161,2025-09-27 04:50:09,WORKSTATION-006,akumar,chrome.exe,file_access,,,Medium,Normal activity on WORKSTATION-008,4,Saturday,1,1,1,3,0,0,0,0,-0.504794479428745
10016,2025-09-27 05:25:28,WORKSTATION-004,,explorer.exe,file_modification,,,Low,Normal activity on WORKSTATION-002,5,Saturday,1,1,1,2,1,0,0,0,-0.459807850361624
10071,2025-09-27 05:37:12,WORKSTATION-008,jsmith,outlook.exe,process_creation,C:\Users\report_59.docx,,Low,Normal activity on WORKSTATION-005,5,Saturday,1,1,1,2,3,0,0,0,-0.459807850361624
10001,2025-09-27 05:55:07,WORKSTATION-001,akumar,word.exe,network_connection,,,Low,Normal activity on WORKSTATION-003,5,Saturday,1,1,1,2,2,0,0,0,-0.459807850361624
10099,2025-09-27 06:12:44,WORKSTATION-004,akumar,excel.exe,process_creation,,,Low,Normal activity on WORKSTATION-001,6,Saturday,1,1,1,2,3,0,0,0,-0.4501484012146629
10186,2025-09-27 06:24:58,WORKSTATION-010,jsmith,word.exe,file_modification,,,Low,Normal activity on WORKSTATION-006,6,Saturday,1,1,1,2,1,0,0,0,-0.4501484012146629
10095,2025-09-27 06:50:42,WORKSTATION-001,mjones,explorer.exe,process_creation,C:\Users\report_12.docx,192.168.1.30,Medium,Normal activity on WORKSTATION-007,6,Saturday,1,1,0,3,3,0,0,1,-0.6490499095072414
10127,2025-09-27 06:59:16,WORKSTATION-005,akumar,explorer.exe,process_creation,,,Low,Normal activity on WORKSTATION-001,6,Saturday,1,1,1,2,3,0,0,0,-0.4501484012146629
10029,2025-09-27 07:05:30,WORKSTATION-005,mjones,explorer.exe,file_access,,192.168.1.12,Low,Normal activity on WORKSTATION-006,7,Saturday,1,1,0,2,0,0,0,1,-0.6237302545568759
10091,2025-09-27 07:13:31,WORKSTATION-005,akumar,explorer.exe,network_connection,C:\Users\report_87.docx,,Low,Normal activity on WORKSTATION-008,7,Saturday,1,1,1,2,2,0,0,0,-0.4571058963912512
10006,2025-09-27 07:18:06,WORKSTATION-009,mjones,explorer.exe,file_modification,C:\Users\report_41.docx,,Low,Normal activity on WORKSTATION-004,7,Saturday,1,1,1,2,1,0,0,0,-0.4571058963912512
10062,2025-09-27 07:30:59,WORKSTATION-008,jsmith,explorer.exe,process_creation,,,Low,Normal activity on WORKSTATION-010,7,Saturday,1,1,1,2,3,0,0,0,-0.4571058963912512
10133,2025-09-27 07:53:10,WORKSTATION-007,akumar,explorer.exe,process_creation,,,Low,Normal activity on WORKSTATION-003,7,Saturday,1,1,1,2,3,0,0,0,-0.4571058963912512
10148,2025-09-27 07:55:27,WORKSTATION-002,akumar,outlook.exe,file_modification,,,Medium,Normal activity on WORKSTATION-003,7,Saturday,1,1,1,3,1,0,0,0,-0.5313838977651552
10115,2025-09-27 07:57:03,WORKSTATION-005,,outlook.exe,process_creation,C:\Users\report_45.docx,,Low,Normal activity on WORKSTATION-010,7,Saturday,1,1,1,2,3,0,0,0,-0.4571058963912512
10018,2025-09-27 07:59:34,WORKSTATION-007,mjones,excel.exe,file_access,,192.168.1.16,Low,Normal activity on WORKSTATION-007,7,Saturday,1,1,0,2,0,0,0,1,-0.6237302545568759
10205,2025-09-27 08:02:13,WORKSTATION-007,jsmith,chrome.exe,file_modification,,,Low,Normal activity on WORKSTATION-010,8,Saturday,1,0,1,2,1,0,0,0,-0.4750028210734532
10032,2025-09-27 08:16:56,WORKSTATION-002,akumar,excel.exe,file_modification,C:\Users\report_31.docx,192.168.1.21,Low,Normal activity on WORKSTATION-001,8,Saturday,1,0,0,2,1,0,0,1,-0.5733228745077122
10119,2025-09-27 08:17:22,WORKSTATION-005,,excel.exe,file_access,,,Low,Normal activity on WORKSTATION-003,8,Saturday,1,0,1,2,0,0,0,0,-0.4750028210734532
10121,2025-09-27 08:19:22,WORKSTATION-006,akumar,explorer.exe,network_connection,,192.168.1.30,Medium,Normal activity on WORKSTATION-007,8,Saturday,1,0,0,3,2,0,0,1,-0.5844774159005774
10015,2025-09-27 08:27:19,WORKSTATION-006,akumar,excel.exe,file_access,,,Low,Normal activity on WORKSTATION-010,8,Saturday,1,0,1,2,0,0,0,0,-0.4750028210734532
10075,2025-09-27 08:33:01,WORKSTATION-010,jsmith,outlook.exe,file_access,C:\Users\report_23.docx,,Medium,Normal activity on WORKSTATION-008,8,Saturday,1,0,1,3,0,0,0,0,-0.5391817836054713
10180,2025-09-27 08:47:04,WORKSTATION-004,,explorer.exe,file_modification,,,Low,Normal activity on WORKSTATION-007,8,Saturday,1,0,1,2,1,0,0,0,-0.4750028210734532
10122,2025-09-27 09:49:55,WORKSTATION-007,mjones,explorer.exe,process_creation,,192.168.1.39,Medium,Normal activity on WORKSTATION-006,9,Saturday,1,0,0,3,3,0,0,0,-0.5611969167910266
10159,2025-09-27 09:58:22,WORKSTATION-008,akumar,outlook.exe,process_creation,C:\Users\report_71.docx,,Low,Normal activity on WORKSTATION-003,9,Saturday,1,0,1,2,3,0,0,0,-0.4672240050518132
10185,2025-09-27 10:00:03,WORKSTATION-002,mjones,outlook.exe,network_connection,,192.168.1.27,Medium,Normal activity on WORKSTATION-005,10,Saturday,1,0,0,3,2,0,0,0,-0.542980190952779
10064,2025-09-27 10:15:40,WORKSTATION-004,akumar,word.exe,file_modification,,,Low,Normal activity on WORKSTATION-010,10,Saturday,1,0,1,2,1,0,0,0,-0.4458826591321293
10011,2025-09-27 10:17:26,WORKSTATION-005,jsmith,word.exe,file_access,C:\Users\report_39.docx,192.168.1.42,Medium,Normal activity on WORKSTATION-004,10,Saturday,1,0,0,3,0,0,0,0,-0.542980190952779
10194,2025-09-27 10:19:09,WORKSTATION-010,,outlook.exe,file_modification,,,Low,Normal activity on WORKSTATION-003,10,Saturday,1,0,1,2,1,0,0,0,-0.4458826591321293
10050,2025-09-27 10:44:49,WORKSTATION-009,jsmith,excel.exe,file_modification,,,Low,Normal activity on WORKSTATION-006,10,Saturday,1,0,1,2,1,0,0,0,-0.4458826591321293
10038,2025-09-27 11:00:48,WORKSTATION-004,jsmith,outlook.exe,process_creation,,,Low,Normal activity on WORKSTATION-009,11,Saturday,1,0,1,2,3,0,0,0,-0.4489076674449776
10101,2025-09-27 11:01:30,WORKSTATION-003,akumar,explorer.exe,network_connection,,192.168.1.27,Low,Normal activity on WORKSTATION-006,11,Saturday,1,0,0,2,2,0,0,0,-0.5127832212978588
10106,2025-09-27 11:08:55,WORKSTATION-002,mjones,word.exe,file_access,,,Medium,Normal activity on WORKSTATION-001,11,Saturday,1,0,1,3,0,0,0,0,-0.48179465404957084
10008,2025-09-27 11:11:52,WORKSTATION-010,akumar,excel.exe,process_creation,,192.168.1.42,Low,Normal activity on WORKSTATION-002,11,Saturday,1,0,0,2,3,0,0,0,-0.5127832212978588
10196,2025-09-27 11:13:27,WORKSTATION-010,akumar,word.exe,network_connection,C:\Users\report_86.docx,192.168.1.25,Medium,Normal activity on WORKSTATION-010,11,Saturday,1,0,0,3,2,0,0,0,-0.561405542853567
10042,2025-09-27 11:20:53,WORKSTATION-004,jsmith,chrome.exe,file_modification,,,Low,Normal activity on WORKSTATION-010,11,Saturday,1,0,1,2,1,0,0,0,-0.4489076674449776
10012,2025-09-27 11:45:43,WORKSTATION-003,akumar,explorer.exe,process_creation,,,Low,Normal activity on WORKSTATION-005,11,Saturday,1,0,1,2,3,0,0,0,-0.4489076674449776
10162,2025-09-27 12:00:15,WORKSTATION-007,jsmith,chrome.exe,process_creation,,,Medium,Normal activity on WORKSTATION-009,12,Saturday,1,0,1,3,3,0,0,0,-0.4714466541739818
10090,2025-09-27 12:51:17,WORKSTATION-003,jsmith,word.exe,network_connection,,,Medium,Normal activity on WORKSTATION-003,12,Saturday,1,0,1,3,2,0,0,0,-0.4714466541739818
10184,2025-09-27 12:57:35,WORKSTATION-005,akumar,word.exe,network_connection,C:\Users\report_51.docx,192.168.1.19,Low,Normal activity on WORKSTATION-001,12,Saturday,1,0,0,2,2,0,0,0,-0.5213658570894782
10051,2025-09-27 13:03:34,WORKSTATION-007,mjones,chrome.exe,file_access,C:\Users\report_76.docx,,Low,Normal activity on WORKSTATION-002,13,Saturday,1,0,1,2,0,0,0,0,-0.46349119116042026
10129,2025-09-27 13:29:04,WORKSTATION-010,mjones,word.exe,network_connection,,192.168.1.38,Low,Normal activity on WORKSTATION-006,13,Saturday,1,0,0,2,2,0,0,0,-0.5172310205581435
